ds,y
2005-07-31,2255
2005-06-30,2311
2005-03-31,2311
2005-05-31,2419
2005-11-30,2255
2005-10-31,2213
2005-09-30,2273
2006-04-30,2208
2006-08-31,2294
2006-12-31,2088
2006-02-28,2172
2006-01-31,2049
2006-07-31,2313
2006-06-30,2342
2006-03-31,2395
2006-05-31,2373
2006-11-30,2305
2006-10-31,2245
2006-09-30,2296
2007-04-30,2316
2007-08-31,2406
2007-12-31,2160
2007-02-28,2234
2007-01-31,2105
2007-07-31,2414
2007-06-30,2522
2007-03-31,2500
2007-05-31,2445
2007-11-30,2295
2007-10-31,2350
2007-09-30,2394
2008-04-30,2315
2008-08-31,2620
2008-12-31,2014
2008-02-29,2336
2008-01-31,2229
2008-07-31,2624
2008-06-30,2590
2008-03-31,2435
2008-05-31,2592
2008-11-30,2290
2008-10-31,2517
2008-09-30,2510
2009-04-30,2363
2009-08-31,2530
2009-12-31,2369
2009-02-28,2325
2009-01-31,1854
2009-07-31,2461
2009-06-30,2566
2009-03-31,2473
2009-05-31,2511
2009-11-30,2554
2009-10-31,2600
2009-09-30,2617
2010-04-30,2735
2010-08-31,2713
2010-12-31,2612
2010-02-28,2718
2010-01-31,2396
2010-07-31,2768
2010-06-30,2946
2010-03-31,2686
2010-05-31,2892
2010-11-30,2698
2010-10-31,2776
2010-09-30,2812
2011-04-30,2468
2011-08-31,2633
2011-12-31,2216
2011-02-28,2564
2011-01-31,2339
2011-07-31,2514
2011-06-30,2680
2011-03-31,2581
2011-05-31,2697
2011-11-30,2314
2011-10-31,2232
2011-09-30,2478
2012-04-30,2433
2012-08-31,2633
2012-12-31,2710
2012-02-29,2560
2012-01-31,2297
2012-07-31,2822
2012-06-30,2816
2012-03-31,2713
2012-05-31,2692
2012-11-30,2920
2012-10-31,2783
2012-09-30,2667
2013-04-30,2609
2013-08-31,2601
2013-12-31,2362
2013-02-28,2797
2013-01-31,2504
2013-07-31,2677
2013-06-30,2871
2013-03-31,2987
2013-05-31,2917
2013-11-30,2767
2013-10-31,2644
2013-09-30,2620
2014-04-30,2725
2014-08-31,2758
2014-12-31,2609
2014-02-28,2615
2014-01-31,2228
2014-07-31,2716
2014-06-30,2846
2014-03-31,2847
2014-05-31,2982
2014-11-30,2874
2014-10-31,2872
2014-09-30,2799
2015-04-30,2677
2015-08-31,2778
2015-12-31,2653
2015-02-28,2822
2015-01-31,2594
2015-07-31,3054
2015-06-30,3086
2015-03-31,3098
2015-05-31,3100
2015-11-30,2881
2015-10-31,2718
2015-09-30,2839
2016-04-30,3019
2016-08-31,2703
2016-12-31,2515
2016-02-29,2652
2016-01-31,2663
2016-07-31,2754
2016-06-30,2912
2016-03-31,2964
2016-05-31,3087
2016-11-30,2584
2016-10-31,2828
2016-09-30,2835
2017-04-30,2619
2017-08-31,2844
2017-12-31,2410
2017-02-28,2664
2017-01-31,2616
2017-07-31,2586
2017-06-30,2789
2017-03-31,2852
2017-05-31,2800
2017-11-30,2790
2017-10-31,2766
2017-09-30,2899
2018-04-30,2634
2018-08-31,2633
2018-12-31,2421
2018-02-28,2536
2018-01-31,2427
2018-07-31,2680
2018-06-30,2848
2018-03-31,2816
2018-05-31,2818
2018-11-30,2829
2018-10-31,2753
2018-09-30,2671
