ds,y
1986-04-30,237
1986-08-31,227
1986-12-31,271
1986-02-28,235
1986-01-31,251
1986-07-31,232
1986-06-30,248
1986-03-31,255
1986-05-31,254
1986-11-30,269
1986-10-31,252
1986-09-30,216
1987-04-30,336
1987-08-31,392
1987-12-31,377
1987-02-28,317
1987-01-31,283
1987-07-31,402
1987-06-30,434
1987-03-31,331
1987-05-31,371
1987-11-30,432
1987-10-31,431
1987-09-30,441
1988-04-30,435
1988-08-31,471
1988-12-31,447
1988-02-29,446
1988-01-31,425
1988-07-31,447
1988-06-30,470
1988-03-31,435
1988-05-31,449
1988-11-30,460
1988-10-31,468
1988-09-30,469
1989-04-30,452
1989-08-31,467
1989-12-31,439
1989-02-28,437
1989-01-31,447
1989-07-31,498
1989-06-30,494
1989-03-31,441
1989-05-31,477
1989-11-30,429
1989-10-31,485
1989-09-30,489
1990-04-30,445
1990-08-31,445
1990-12-31,468
1990-02-28,440
1990-01-31,434
1990-07-31,436
1990-06-30,443
1990-03-31,448
1990-05-31,459
1990-11-30,493
1990-10-31,449
1990-09-30,469
1991-04-30,597
1991-08-31,597
1991-12-31,521
1991-02-28,535
1991-01-31,508
1991-07-31,599
1991-06-30,651
1991-03-31,614
1991-05-31,634
1991-11-30,560
1991-10-31,553
1991-09-30,585
1992-04-30,591
1992-08-31,655
1992-12-31,667
1992-02-29,542
1992-01-31,525
1992-07-31,617
1992-06-30,608
1992-03-31,536
1992-05-31,617
1992-11-30,659
1992-10-31,642
1992-09-30,682
1993-04-30,709
1993-08-31,642
1993-12-31,682
1993-02-28,722
1993-01-31,657
1993-07-31,690
1993-06-30,717
1993-03-31,712
1993-05-31,706
1993-11-30,686
1993-10-31,696
1993-09-30,705
1994-04-30,750
1994-08-31,820
1994-12-31,814
1994-02-28,737
1994-01-31,692
1994-07-31,815
1994-06-30,791
1994-03-31,793
1994-05-31,734
1994-11-30,828
1994-10-31,819
1994-09-30,805
1995-04-30,778
1995-08-31,849
1995-12-31,774
1995-02-28,805
1995-01-31,800
1995-07-31,819
1995-06-30,781
1995-03-31,813
1995-05-31,774
1995-11-30,799
1995-10-31,809
1995-09-30,812
1996-04-30,866
1996-08-31,941
1996-12-31,1073
1996-02-29,785
1996-01-31,805
1996-07-31,977
1996-06-30,951
1996-03-31,815
1996-05-31,920
1996-11-30,1123
1996-10-31,1116
1996-09-30,994
1997-04-30,1152
1997-08-31,1226
1997-12-31,1241
1997-02-28,1148
1997-01-31,1102
1997-07-31,1233
1997-06-30,1248
1997-03-31,1148
1997-05-31,1229
1997-11-30,1244
1997-10-31,1233
1997-09-30,1214
1998-04-30,1107
1998-08-31,1325
1998-12-31,1303
1998-02-28,1273
1998-01-31,1201
1998-07-31,1281
1998-06-30,1290
1998-03-31,1294
1998-05-31,1263
1998-11-30,1411
1998-10-31,1404
1998-09-30,1344
1999-04-30,1390
1999-08-31,1431
1999-12-31,1386
1999-02-28,1323
1999-01-31,1300
1999-07-31,1416
1999-06-30,1472
1999-03-31,1443
1999-05-31,1413
1999-11-30,1508
1999-10-31,1512
1999-09-30,1473
2000-04-30,1397
2000-08-31,1673
2000-12-31,1740
2000-02-29,1529
2000-01-31,1499
2000-07-31,1676
2000-06-30,1681
2000-03-31,1519
2000-05-31,1632
2000-11-30,1680
2000-10-31,1739
2000-09-30,1670
2001-04-30,1930
2001-08-31,1803
2001-12-31,1602
2001-02-28,1709
2001-01-31,1608
2001-07-31,1855
2001-06-30,1882
2001-03-31,1795
2001-05-31,1880
2001-11-30,1678
2001-10-31,1802
2001-09-30,1795
2002-04-30,1885
2002-08-31,2059
2002-12-31,1833
2002-02-28,1842
2002-01-31,1686
2002-07-31,2087
2002-06-30,2084
2002-03-31,1973
2002-05-31,2016
2002-11-30,1864
2002-10-31,1940
2002-09-30,1956
2003-04-30,2120
2003-08-31,2133
2003-12-31,1850
2003-02-28,1911
2003-01-31,1764
2003-07-31,2117
2003-06-30,2094
2003-03-31,2101
2003-05-31,2161
2003-11-30,2079
2003-10-31,2184
2003-09-30,2131
2004-04-30,2121
2004-08-31,2191
2004-12-31,2018
2004-02-29,1937
2004-01-31,1800
2004-07-31,2207
2004-06-30,2177
2004-03-31,2173
2004-05-31,2187
2004-11-30,2250
2004-10-31,2297
2004-09-30,2249
2005-04-30,2178
2005-08-31,2306
2005-12-31,2011
2005-02-28,2288
2005-01-31,2086
