ds,y
2007-02-01,7042.446179
2007-01-01,7315.043858
2007-07-01,8457.310532
2007-06-01,8621.458083
2007-03-01,8829.521519
2007-05-01,8681.213512
2007-11-01,7847.089784
2007-10-01,8278.434966
2007-09-01,8819.507071
2008-04-01,8181.950588
2008-08-01,9641.281555
2008-12-01,7341.047469
2008-02-01,7817.421619
2008-01-01,7950.281067
2008-07-01,9590.386107
2008-06-01,9243.194407
2008-03-01,8954.575709
2008-05-01,9342.356519
2008-11-01,8194.622183
2008-10-01,9301.842434
2008-09-01,8898.961308
2009-04-01,8579.835954
2009-08-01,9417.869056
2009-12-01,8795.379648
2009-02-01,7680.213357
2009-01-01,6572.126107
2009-07-01,9262.071536
2009-06-01,9273.553772
2009-03-01,9168.347062
2009-05-01,9283.291566
2009-11-01,9086.124972
2009-10-01,9738.345998
2009-09-01,9486.151247
2010-04-01,9750.902334
2010-08-01,9761.264867
2010-12-01,9740.437472
2010-02-01,9265.130892
2010-01-01,8883.912628
2010-07-01,10238.2475
2010-06-01,10327.3115
2010-03-01,10044.71981
2010-05-01,10583.45392
2010-11-01,9694.455994
2010-10-01,10142.01921
2010-09-01,10006.29488
2011-04-01,8822.743526
2011-08-01,9777.934574
2011-12-01,8381.09018
2011-02-01,8573.823918
2011-01-01,8566.364178
2011-07-01,9335.425861
2011-06-01,9653.175492
2011-03-01,9552.369226
2011-05-01,10019.10809
2011-11-01,8447.818373
2011-10-01,8210.108334
2011-09-01,8921.360458
2012-04-01,8968.933121
2012-08-01,10077.21265
2012-12-01,10284.68889
2012-02-01,8976.232934
2012-01-01,8580.060131
2012-07-01,10724.10947
2012-06-01,10331.07157
2012-03-01,10132.76661
2012-05-01,10252.72693
2012-11-01,10723.24296
2012-10-01,10582.45455
2012-09-01,9734.949418
2013-04-01,9571.353735
2013-08-01,9781.436653
2013-12-01,8841.637727
2013-02-01,9825.969502
2013-01-01,9339.460221
2013-07-01,9983.52333
2013-06-01,10263.78396
2013-03-01,11240.80652
2013-05-01,10942.80527
2013-11-01,10065.87516
2013-10-01,9893.83009
2013-09-01,9467.417028
2014-04-01,9826.009021
2014-08-01,10356.4587
2014-12-01,9609.296676
2014-02-01,8500.794101
2014-01-01,8129.28044
2014-07-01,10219.93972
2014-06-01,10299.649
2014-03-01,10367.77042
2014-05-01,11197.84201
2014-11-01,10633.86087
2014-10-01,10842.93633
2014-09-01,10330.32348
2015-04-01,10164.86172
2015-08-01,10875.32797
2015-12-01,10034.61844
2015-02-01,9487.650887
2015-01-01,9686.728588
2015-07-01,11643.35396
2015-06-01,11409.88776
2015-03-01,11831.41174
2015-05-01,11920.02831
2015-11-01,10702.43098
2015-10-01,10368.2079
2015-09-01,10400.48791
2016-04-01,11481.91536
2016-08-01,10223.38752
2016-12-01,9604.429703
2016-02-01,9339.165574
2016-01-01,9751.152172
2016-07-01,10525.93845
2016-06-01,10751.99649
2016-03-01,11539.15227
2016-05-01,11907.29798
2016-11-01,9858.117127
2016-10-01,10672.0764
2016-09-01,10494.96138
2017-04-01,9703.00188
2017-08-01,10877.68781
2017-12-01,8860.057223
2017-02-01,9006.218148
2017-01-01,9811.118934
2017-07-01,9747.300032
2017-06-01,10130.12511
2017-03-01,10923.08468
