YEAR_PRD,MONTH_PRD,FUELTYPE,QTY
1988,AUG,Hydro Electricity,287.39
1988,AUG,Fuel Oil,295.65
1988,AUG,Coal & Lignite,588.84
1988,AUG,Natural Gas,1641.23
1988,AUG,Diesel,0.09
1988,AUG,Imported,44.71
1988,AUG,Renewable Energy,8.95
1988,DEC,Hydro Electricity,226.16
1988,DEC,Fuel Oil,289.45
1988,DEC,Coal & Lignite,529.75
1988,DEC,Natural Gas,1585.4
1988,DEC,Diesel,0.61
1988,DEC,Imported,33.55
1988,DEC,Renewable Energy,1.47
1988,FEB,Hydro Electricity,340.26
1988,FEB,Fuel Oil,138.86
1988,FEB,Coal & Lignite,478.44
1988,FEB,Natural Gas,1469.13
1988,FEB,Diesel,0.15
1988,FEB,Imported,43.73
1988,FEB,Renewable Energy,1.24
1988,JAN,Hydro Electricity,220.18
1988,JAN,Fuel Oil,167.19
1988,JAN,Coal & Lignite,535.64
1988,JAN,Natural Gas,1505.89
1988,JAN,Diesel,0.14
1988,JAN,Imported,43.13
1988,JAN,Renewable Energy,1.55
1988,JUL,Hydro Electricity,305.17
1988,JUL,Fuel Oil,275.28
1988,JUL,Coal & Lignite,633.22
1988,JUL,Natural Gas,1554.37
1988,JUL,Diesel,0.05
1988,JUL,Imported,31.19
1988,JUL,Renewable Energy,7.26
1988,JUN,Hydro Electricity,269.66
1988,JUN,Fuel Oil,264.55
1988,JUN,Coal & Lignite,607.74
1988,JUN,Natural Gas,1584.31
1988,JUN,Diesel,0.08
1988,JUN,Imported,32.51
1988,JUN,Renewable Energy,1.74
1988,MAR,Hydro Electricity,550.48
1988,MAR,Fuel Oil,238.96
1988,MAR,Coal & Lignite,546.34
1988,MAR,Natural Gas,1529.92
1988,MAR,Diesel,0.25
1988,MAR,Imported,29.84
1988,MAR,Renewable Energy,0.54
1988,MAY,Hydro Electricity,288.26
1988,MAY,Fuel Oil,279.42
1988,MAY,Coal & Lignite,616.65
1988,MAY,Natural Gas,1572.08
1988,MAY,Diesel,0.06
1988,MAY,Imported,26.89
1988,MAY,Renewable Energy,0.16
1988,NOV,Hydro Electricity,247.79
1988,NOV,Fuel Oil,263.84
1988,NOV,Coal & Lignite,540.05
1988,NOV,Natural Gas,1545.27
1988,NOV,Diesel,1.11
1988,NOV,Imported,39.05
1988,NOV,Renewable Energy,1.86
1988,OCT,Hydro Electricity,251.65
1988,OCT,Fuel Oil,301.82
1988,OCT,Coal & Lignite,618.78
1988,OCT,Natural Gas,1642.22
1988,OCT,Diesel,0.8
1988,OCT,Imported,40.68
1988,OCT,Renewable Energy,2.13
1988,SEP,Hydro Electricity,288.55
1988,SEP,Fuel Oil,400.62
1988,SEP,Coal & Lignite,504.19
1988,SEP,Natural Gas,1611.5
1988,SEP,Diesel,0.04
1988,SEP,Imported,35.51
1988,SEP,Renewable Energy,2.75
1989,APR,Hydro Electricity,679.34
1989,APR,Fuel Oil,329.2
1989,APR,Coal & Lignite,621.21
1989,APR,Natural Gas,1543.28
1989,APR,Diesel,0.39
1989,APR,Imported,28.85
1989,APR,Renewable Energy,0.59
1989,AUG,Hydro Electricity,537.38
1989,AUG,Fuel Oil,356.25
1989,AUG,Coal & Lignite,697.36
1989,AUG,Natural Gas,1635.85
1989,AUG,Diesel,0.87
1989,AUG,Imported,66.61
1989,AUG,Renewable Energy,2.23
1989,DEC,Hydro Electricity,238.64
1989,DEC,Fuel Oil,466.93
1989,DEC,Coal & Lignite,804.71
1989,DEC,Natural Gas,1521.7
1989,DEC,Diesel,7.36
1989,DEC,Imported,81.51
1989,DEC,Renewable Energy,0.92
1989,FEB,Hydro Electricity,466.02
1989,FEB,Fuel Oil,235.23
1989,FEB,Coal & Lignite,544.21
1989,FEB,Natural Gas,1396.71
1989,FEB,Diesel,0.36
1989,FEB,Imported,25.21
1989,FEB,Renewable Energy,0.67
1989,JAN,Hydro Electricity,332.65
1989,JAN,Fuel Oil,413.52
1989,JAN,Coal & Lignite,527.57
1989,JAN,Natural Gas,1619.19
1989,JAN,Diesel,0.3
1989,JAN,Imported,27.07
1989,JAN,Renewable Energy,0.75
1989,JUL,Hydro Electricity,325.62
1989,JUL,Fuel Oil,403.84
1989,JUL,Coal & Lignite,719.31
1989,JUL,Natural Gas,1735.76
1989,JUL,Diesel,0.06
1989,JUL,Imported,56.55
1989,JUL,Renewable Energy,1.87
1989,JUN,Hydro Electricity,423.75
1989,JUN,Fuel Oil,382.57
1989,JUN,Coal & Lignite,637.37
1989,JUN,Natural Gas,1692
1989,JUN,Diesel,0.41
1989,JUN,Imported,38.09
1989,JUN,Renewable Energy,1.47
1989,MAR,Hydro Electricity,675.91
1989,MAR,Fuel Oil,314.37
1989,MAR,Coal & Lignite,608.9
1989,MAR,Natural Gas,1575.68
1989,MAR,Diesel,0.75
1989,MAR,Imported,27.94
1989,MAR,Renewable Energy,0.63
1989,MAY,Hydro Electricity,601.83
1989,MAY,Fuel Oil,357.02
1989,MAY,Coal & Lignite,623.16
1989,MAY,Natural Gas,1691.85
1989,MAY,Diesel,0.38
1989,MAY,Imported,28.44
1989,MAY,Renewable Energy,0.88
1989,NOV,Hydro Electricity,439.41
1989,NOV,Fuel Oil,582.26
1989,NOV,Coal & Lignite,707.56
1989,NOV,Natural Gas,1420.03
1989,NOV,Diesel,4.73
1989,NOV,Imported,84.79
1989,NOV,Renewable Energy,1.42
1989,OCT,Hydro Electricity,333.38
1989,OCT,Fuel Oil,516.67
1989,OCT,Coal & Lignite,695.37
1989,OCT,Natural Gas,1720.46
1989,OCT,Diesel,0.09
1989,OCT,Imported,80.99
1989,OCT,Renewable Energy,3.34
1989,SEP,Hydro Electricity,458.28
1989,SEP,Fuel Oil,380.97
1989,SEP,Coal & Lignite,682.84
1989,SEP,Natural Gas,1642.24
1989,SEP,Diesel,0.75
1989,SEP,Imported,97.1
1989,SEP,Renewable Energy,6.8
1990,APR,Hydro Electricity,490.12
1990,APR,Fuel Oil,738.4
1990,APR,Coal & Lignite,949.72
1990,APR,Natural Gas,1470.67
1990,APR,Diesel,19.68
1990,APR,Imported,39.76
1990,APR,Renewable Energy,1.49
