YEAR_PRD,MONTH_PRD,FUEL_SOURCE,QTY
1990,SEP,EGAT,3736.4230000000002
1990,SEP,IMPORTED,60.39
1990,SEP,DEDP,2.8
1991,APR,EGAT,4094.511
1991,APR,IMPORTED,55.24
1991,APR,DEDP,3.46
1991,AUG,EGAT,4275.792
1991,AUG,IMPORTED,85.75
1991,AUG,DEDP,0.98
1991,DEC,EGAT,4140.7519999999995
1991,DEC,IMPORTED,25
1991,DEC,DEDP,1.95
1991,FEB,EGAT,3496.291
1991,FEB,IMPORTED,42.69
1991,FEB,DEDP,1.05
1991,JAN,EGAT,3922.1710000000003
1991,JAN,IMPORTED,40.98
1991,JAN,DEDP,0.79
1991,JUL,EGAT,4351.8820000000005
1991,JUL,IMPORTED,69.66
1991,JUL,DEDP,1.1
1991,JUN,EGAT,4228.771000000001
1991,JUN,IMPORTED,40.22
1991,JUN,DEDP,2.92
1991,MAR,EGAT,4347.602
1991,MAR,IMPORTED,41.99
1991,MAR,DEDP,1.4
1991,MAY,EGAT,4431.0109999999995
1991,MAY,IMPORTED,35.24
1991,MAY,DEDP,1.89
1991,NOV,EGAT,4124.642000000001
1991,NOV,IMPORTED,49.49
1991,NOV,DEDP,3.01
1991,OCT,EGAT,4374.841
1991,OCT,IMPORTED,50.27
1991,OCT,DEDP,6.74
1991,SEP,EGAT,4303.471
1991,SEP,IMPORTED,56.58
1991,SEP,DEDP,3.36
1992,APR,EGAT,4860.844
1992,APR,IMPORTED,29.11
1992,APR,DEDP,1.973
1992,AUG,EGAT,4901.9929999999995
1992,AUG,IMPORTED,75.4
1992,AUG,DEDP,0.59
1992,DEC,EGAT,4703.212
1992,DEC,IMPORTED,19.73
1992,DEC,DEDP,1.52
1992,FEB,EGAT,4162.0
1992,FEB,IMPORTED,35.23
1992,FEB,DEDP,1.78
1992,JAN,EGAT,4206.1900000000005
1992,JAN,IMPORTED,23.44
1992,JAN,DEDP,1.59
1992,JUL,EGAT,4936.9220000000005
1992,JUL,IMPORTED,69.72
1992,JUL,DEDP,0.5
1992,JUN,EGAT,4856.64
1992,JUN,IMPORTED,46.55
1992,JUN,DEDP,0.38
1992,MAR,EGAT,4905.853000000001
1992,MAR,IMPORTED,21.034
1992,MAR,DEDP,1.76
1992,MAY,EGAT,5066.552000000001
1992,MAY,IMPORTED,34.38
1992,MAY,DEDP,1.57
1992,NOV,EGAT,4618.5160000000005
1992,NOV,IMPORTED,27.64
1992,NOV,DEDP,2.19
1992,OCT,EGAT,4856.032
1992,OCT,IMPORTED,47.084
1992,OCT,DEDP,3.62
1992,SEP,EGAT,4933.683999999999
1992,SEP,IMPORTED,50.58
1992,SEP,DEDP,2.24
1993,APR,EGAT,5200.961
1993,APR,IMPORTED,24.685
1993,APR,DEDP,1.669
1993,AUG,EGAT,5329.3769999999995
1993,AUG,IMPORTED,116.289
1993,AUG,DEDP,2.66
1993,DEC,EGAT,5074.544
1993,DEC,IMPORTED,49.06
1993,DEC,DEDP,1.27
1993,FEB,EGAT,4610.478
1993,FEB,IMPORTED,15.832
1993,FEB,DEDP,1.446
1993,JAN,EGAT,4696.914000000001
1993,JAN,IMPORTED,22.758
1993,JAN,DEDP,1.621
1993,JUL,EGAT,5682.449
1993,JUL,IMPORTED,77.836
1993,JUL,DEDP,1.99
1993,JUN,EGAT,5463.168
1993,JUN,IMPORTED,45.453
1993,JUN,DEDP,1.795
1993,MAR,EGAT,5465.724
1993,MAR,IMPORTED,20.703
1993,MAR,DEDP,1.622
1993,MAY,EGAT,5619.727000000001
1993,MAY,IMPORTED,31.914
1993,MAY,DEDP,2.102
1993,NOV,EGAT,5328.389000000001
1993,NOV,IMPORTED,37.278
1993,NOV,DEDP,2.934
1993,OCT,EGAT,5500.822
1993,OCT,IMPORTED,82.616
1993,OCT,DEDP,4.725
1993,SEP,EGAT,5336.52
1993,SEP,IMPORTED,120.092
1993,SEP,DEDP,4.422
1994,APR,EGAT,5894.123
1994,APR,IMPORTED,42.141
1994,APR,DEDP,2.174
1994,APR,SPP,1.484
1994,AUG,EGAT,6048.826
1994,AUG,IMPORTED,116.486
1994,AUG,DEDP,7.173
1994,DEC,EGAT,5469.467000000001
1994,DEC,IMPORTED,60.388
1994,DEC,DEDP,0.742
1994,DEC,SPP,7.785
1994,DEC,IPP,564.627
1994,FEB,EGAT,5242.516
1994,FEB,IMPORTED,42.804
1994,FEB,DEDP,1.643
1994,FEB,SPP,0.252
1994,JAN,EGAT,5413.276
1994,JAN,IMPORTED,47.307
1994,JAN,DEDP,1.698
1994,JAN,SPP,0.061
1994,JUL,EGAT,5995.103
1994,JUL,IMPORTED,103.992
1994,JUL,DEDP,3.147
1994,JUL,SPP,0.04
1994,JUN,EGAT,6002.001000000001
1994,JUN,IMPORTED,60.647
1994,JUN,DEDP,1.806
1994,JUN,SPP,0.108
1994,MAR,EGAT,6052.678999999999
1994,MAR,IMPORTED,47.606
1994,MAR,DEDP,1.886
1994,MAR,SPP,1.247
1994,MAY,EGAT,6205.736999999999
1994,MAY,IMPORTED,50.381
1994,MAY,DEDP,1.927
1994,MAY,SPP,1.078
1994,NOV,EGAT,6058.6269999999995
1994,NOV,IMPORTED,64.505
1994,NOV,DEDP,1.069
1994,NOV,SPP,0.612
1994,OCT,EGAT,6057.414
1994,OCT,IMPORTED,113.87
1994,OCT,DEDP,4.489
1994,OCT,SPP,0.158
1994,SEP,EGAT,6048.2210000000005
1994,SEP,IMPORTED,120.688
1994,SEP,DEDP,8.762
1994,SEP,SPP,0.476
1995,APR,EGAT,5950.092000000001
1995,APR,IMPORTED,38.78
1995,APR,DEDP,1.782
1995,APR,SPP,16.564
1995,APR,IPP,697.847
1995,AUG,EGAT,6166.344
1995,AUG,IMPORTED,93.07
1995,AUG,DEDP,3.073
1995,AUG,SPP,16.255
1995,AUG,IPP,736.717
1995,DEC,EGAT,5576.503
1995,DEC,IMPORTED,55.127
1995,DEC,DEDP,0.589
1995,DEC,SPP,52.854
1995,DEC,IPP,687.959
1995,FEB,EGAT,5044.941
1995,FEB,IMPORTED,46.852
1995,FEB,DEDP,0.863
1995,FEB,SPP,16.708
1995,FEB,IPP,649.606
1995,JAN,EGAT,5256.183
1995,JAN,IMPORTED,44.81
1995,JAN,DEDP,0.642
1995,JAN,SPP,10.007
1995,JAN,IPP,702.343
1995,JUL,EGAT,6149.996
1995,JUL,IMPORTED,54.341
1995,JUL,DEDP,3.421
1995,JUL,SPP,7.166
1995,JUL,IPP,753.179
1995,JUN,EGAT,6277.339999999999
1995,JUN,IMPORTED,41.035
1995,JUN,DEDP,3.069
1995,JUN,SPP,8.606
1995,JUN,IPP,684.255
1995,MAR,EGAT,6314.8189999999995
1995,MAR,IMPORTED,40.29
1995,MAR,DEDP,1.458
1995,MAR,SPP,16.97
1995,MAR,IPP,734.505
1995,MAY,EGAT,6421.9800000000005
1995,MAY,IMPORTED,39.004
1995,MAY,DEDP,1.852
1995,MAY,SPP,7.371
1995,MAY,IPP,654.455
1995,NOV,EGAT,5860.138999999999
1995,NOV,IMPORTED,57.684
1995,NOV,DEDP,0.57
1995,NOV,SPP,41.767
1995,NOV,IPP,700.362
1995,OCT,EGAT,6078.170999999999
1995,OCT,IMPORTED,83.298
1995,OCT,DEDP,2.304
1995,OCT,SPP,45.654
1995,OCT,IPP,717.669
1995,SEP,EGAT,6000.298000000001
1995,SEP,IMPORTED,104.83
1995,SEP,DEDP,6.381
1995,SEP,SPP,21.731
1995,SEP,IPP,633.847
1996,APR,EGAT,6434.959999999999
1996,APR,IMPORTED,33.807
1996,APR,DEDP,1.843
1996,APR,SPP,83.963
1996,APR,IPP,748.118
1996,AUG,EGAT,6428.43
1996,AUG,IMPORTED,99.189
1996,AUG,DEDP,5.848
1996,AUG,SPP,105.437
1996,AUG,IPP,1075.851
1996,DEC,EGAT,5620.154
1996,DEC,IMPORTED,85.641
1996,DEC,DEDP,0.939
1996,DEC,SPP,154.777
1996,DEC,IPP,974.224
1996,FEB,EGAT,5633.290999999999
1996,FEB,IMPORTED,43.774
1996,FEB,DEDP,1.804
1996,FEB,SPP,68.559
1996,FEB,IPP,681.743
1996,JAN,EGAT,5927.781
1996,JAN,IMPORTED,40.475
