YEAR_PRD,MONTH_PRD,SECTOR,SUBSECTOR,QTY
1991,JAN,Electricity,EGAT,508
1991,JAN,GSP,GSP,114
1991,JAN,Industry,Industry,34
1991,FEB,Electricity,EGAT,535
1991,FEB,GSP,GSP,114
1991,FEB,Industry,Industry,30
1991,MAR,Electricity,EGAT,614
1991,MAR,GSP,GSP,99
1991,MAR,Industry,Industry,21
1991,APR,Electricity,EGAT,597
1991,APR,GSP,GSP,80
1991,APR,Industry,Industry,20
1991,MAY,Electricity,EGAT,634
1991,MAY,GSP,GSP,61
1991,MAY,Industry,Industry,19
1991,JUN,Electricity,EGAT,651
1991,JUN,GSP,GSP,18
1991,JUN,Industry,Industry,21
1991,JUL,Electricity,EGAT,599
1991,JUL,GSP,GSP,108
1991,JUL,Industry,Industry,22
1991,AUG,Electricity,EGAT,597
1991,AUG,GSP,GSP,120
1991,AUG,Industry,Industry,24
1991,SEP,Electricity,EGAT,585
1991,SEP,GSP,GSP,111
1991,SEP,Industry,Industry,24
1991,OCT,Electricity,EGAT,553
1991,OCT,GSP,GSP,116
1991,OCT,Industry,Industry,24
1991,NOV,Electricity,EGAT,560
1991,NOV,GSP,GSP,116
1991,NOV,Industry,Industry,25
1991,DEC,Electricity,EGAT,521
1991,DEC,GSP,GSP,123
1991,DEC,Industry,Industry,27
1992,JAN,Electricity,EGAT,525
1992,JAN,GSP,GSP,117
1992,JAN,Industry,Industry,26
1992,FEB,Electricity,EGAT,542
1992,FEB,GSP,GSP,101
1992,FEB,Industry,Industry,31
1992,MAR,Electricity,EGAT,536
1992,MAR,GSP,GSP,103
1992,MAR,Industry,Industry,33
1992,APR,Electricity,EGAT,591
1992,APR,GSP,GSP,114
1992,APR,Industry,Industry,31
1992,MAY,Electricity,EGAT,617
1992,MAY,GSP,GSP,94
1992,MAY,Industry,Industry,33
1992,JUN,Electricity,EGAT,608
1992,JUN,GSP,GSP,115
1992,JUN,Industry,Industry,36
1992,JUL,Electricity,EGAT,617
1992,JUL,GSP,GSP,118
1992,JUL,Industry,Industry,34
1992,AUG,Electricity,EGAT,655
1992,AUG,GSP,GSP,118
1992,AUG,Industry,Industry,34
1992,SEP,Electricity,EGAT,682
1992,SEP,GSP,GSP,122
1992,SEP,Industry,Industry,34
1992,OCT,Electricity,EGAT,642
1992,OCT,GSP,GSP,107
1992,OCT,Industry,Industry,37
1992,NOV,Electricity,EGAT,659
1992,NOV,GSP,GSP,126
1992,NOV,Industry,Industry,38
1992,DEC,Electricity,EGAT,667
1992,DEC,GSP,GSP,126
1992,DEC,Industry,Industry,37
1993,JAN,Electricity,EGAT,657
1993,JAN,GSP,GSP,126
1993,JAN,Industry,Industry,37
1993,FEB,Electricity,EGAT,722
1993,FEB,GSP,GSP,121
1993,FEB,Industry,Industry,39
1993,MAR,Electricity,EGAT,712
1993,MAR,GSP,GSP,110
1993,MAR,Industry,Industry,39
1993,APR,Electricity,EGAT,709
1993,APR,GSP,GSP,122
1993,APR,Industry,Industry,38
1993,MAY,Electricity,EGAT,706
1993,MAY,GSP,GSP,128
1993,MAY,Industry,Industry,41
1993,JUN,Electricity,EGAT,717
1993,JUN,GSP,GSP,127
1993,JUN,Industry,Industry,44
1993,JUL,Electricity,EGAT,690
1993,JUL,GSP,GSP,125
1993,JUL,Industry,Industry,42
1993,AUG,Electricity,EGAT,642
1993,AUG,GSP,GSP,142
1993,AUG,Industry,Industry,43
1993,SEP,Electricity,EGAT,705
1993,SEP,GSP,GSP,133
1993,SEP,Industry,Industry,35
1993,OCT,Electricity,EGAT,696
1993,OCT,GSP,GSP,129
1993,OCT,Industry,Industry,40
1993,NOV,Electricity,EGAT,686
1993,NOV,GSP,GSP,134
1993,NOV,Industry,Industry,51
1993,DEC,Electricity,EGAT,682
1993,DEC,GSP,GSP,134
1993,DEC,Industry,Industry,42
1994,JAN,Electricity,EGAT,692
1994,JAN,GSP,GSP,130
1994,JAN,Industry,Industry,41
1994,FEB,Electricity,EGAT,737
1994,FEB,GSP,GSP,128
1994,FEB,Industry,Industry,47
1994,MAR,Electricity,EGAT,793
1994,MAR,GSP,GSP,32
1994,MAR,Industry,Industry,50
1994,APR,Electricity,EGAT,750
1994,APR,GSP,GSP,116
1994,APR,Industry,Industry,44
1994,MAY,Electricity,EGAT,734
1994,MAY,GSP,GSP,118
1994,MAY,Industry,Industry,51
1994,JUN,Electricity,EGAT,791
1994,JUN,GSP,GSP,107
1994,JUN,Industry,Industry,55
1994,JUL,Electricity,EGAT,815
1994,JUL,GSP,GSP,131
1994,JUL,Industry,Industry,52
1994,AUG,Electricity,EGAT,820
1994,AUG,GSP,GSP,132
1994,AUG,Industry,Industry,58
1994,SEP,Electricity,EGAT,805
1994,SEP,GSP,GSP,131
1994,SEP,Industry,Industry,59
1994,OCT,Electricity,EGAT,819
1994,OCT,GSP,GSP,127
1994,OCT,Industry,Industry,53
1994,NOV,Electricity,EGAT,828
1994,NOV,GSP,GSP,130
1994,NOV,Industry,Industry,71
1994,DEC,Electricity,EGAT,814
1994,DEC,GSP,GSP,129
1994,DEC,Industry,Industry,65
1995,JAN,Electricity,EGAT,800
1995,JAN,GSP,GSP,129
1995,JAN,Industry,Industry,68
1995,FEB,Electricity,EGAT,805
1995,FEB,GSP,GSP,127
1995,FEB,Industry,Industry,67
1995,MAR,Electricity,EGAT,813
1995,MAR,GSP,GSP,125
1995,MAR,Industry,Industry,70
1995,APR,Electricity,EGAT,778
1995,APR,GSP,GSP,122
1995,APR,Industry,Industry,61
1995,MAY,Electricity,EGAT,774
1995,MAY,GSP,GSP,121
1995,MAY,Industry,Industry,71
1995,JUN,Electricity,EGAT,781
1995,JUN,GSP,GSP,112
1995,JUN,Industry,Industry,68
1995,JUL,Electricity,EGAT,819
1995,JUL,GSP,GSP,88
1995,JUL,Industry,Industry,63
1995,AUG,Electricity,EGAT,849
1995,AUG,GSP,GSP,95
1995,AUG,Industry,Industry,65
1995,SEP,Electricity,EGAT,812
1995,SEP,GSP,GSP,96
1995,SEP,Industry,Industry,79
1995,OCT,Electricity,EGAT,809
1995,OCT,GSP,GSP,113
1995,OCT,Industry,Industry,82
1995,NOV,Electricity,EGAT,799
1995,NOV,GSP,GSP,123
1995,NOV,Industry,Industry,94
1995,DEC,Electricity,EGAT,774
1995,DEC,GSP,GSP,123
1995,DEC,Industry,Industry,86
1996,JAN,Electricity,EGAT,762
1996,JAN,Electricity,SPP,43
1996,JAN,GSP,GSP,130
1996,JAN,Industry,Industry,63
1996,FEB,Electricity,EGAT,743
1996,FEB,Electricity,SPP,42
1996,FEB,GSP,GSP,128
1996,FEB,Industry,Industry,76
1996,MAR,Electricity,EGAT,772
1996,MAR,Electricity,SPP,43
1996,MAR,GSP,GSP,65
1996,MAR,Industry,Industry,62
1996,APR,Electricity,EGAT,816
1996,APR,Electricity,SPP,50
1996,APR,GSP,GSP,122
1996,APR,Industry,Industry,78
1996,MAY,Electricity,EGAT,868
1996,MAY,Electricity,SPP,52
1996,MAY,GSP,GSP,121
1996,MAY,Industry,Industry,95
1996,JUN,Electricity,EGAT,897
1996,JUN,Electricity,SPP,54
1996,JUN,GSP,GSP,126
1996,JUN,Industry,Industry,90
1996,JUL,Electricity,EGAT,920
1996,JUL,Electricity,SPP,57
1996,JUL,GSP,GSP,131
1996,JUL,Industry,Industry,80
1996,AUG,Electricity,EGAT,881
1996,AUG,Electricity,SPP,60
1996,AUG,GSP,GSP,121
1996,AUG,Industry,Industry,77
1996,SEP,Electricity,EGAT,932
1996,SEP,Electricity,SPP,62
1996,SEP,GSP,GSP,130
1996,SEP,Industry,Industry,85
1996,OCT,Electricity,EGAT,1036
1996,OCT,Electricity,SPP,80
1996,OCT,GSP,GSP,131
1996,OCT,Industry,Industry,74
1996,NOV,Electricity,EGAT,1038
1996,NOV,Electricity,SPP,85
1996,NOV,GSP,GSP,133
1996,NOV,Industry,Industry,82
1996,DEC,Electricity,EGAT,984
1996,DEC,Electricity,SPP,89
1996,DEC,GSP,GSP,132
1996,DEC,Industry,Industry,74
1997,JAN,Electricity,EGAT,1027
1997,JAN,Electricity,SPP,75
1997,JAN,GSP,GSP,134
1997,JAN,Industry,Industry,98
1997,FEB,Electricity,EGAT,1075
1997,FEB,Electricity,SPP,73
1997,FEB,GSP,GSP,146
1997,FEB,Industry,Industry,106
1997,MAR,Electricity,EGAT,1072
1997,MAR,Electricity,SPP,76
1997,MAR,GSP,GSP,151
1997,MAR,Industry,Industry,91
1997,APR,Electricity,EGAT,1070
1997,APR,Electricity,SPP,82
1997,APR,GSP,GSP,123
1997,APR,Industry,Industry,90
1997,MAY,Electricity,EGAT,1145
1997,MAY,Electricity,SPP,84
1997,MAY,GSP,GSP,78
1997,MAY,Industry,Industry,80
1997,JUN,Electricity,EGAT,1168
1997,JUN,Electricity,SPP,80
1997,JUN,GSP,GSP,167
1997,JUN,Industry,Industry,97
1997,JUL,Electricity,EGAT,1157
1997,JUL,Electricity,SPP,76
1997,JUL,GSP,GSP,155
1997,JUL,Industry,Industry,98
1997,AUG,Electricity,EGAT,1149
1997,AUG,Electricity,SPP,77
1997,AUG,GSP,GSP,169
1997,AUG,Industry,Industry,100
1997,SEP,Electricity,EGAT,1124
1997,SEP,Electricity,SPP,90
1997,SEP,GSP,GSP,150
1997,SEP,Industry,Industry,103
1997,OCT,Electricity,EGAT,1143
1997,OCT,Electricity,SPP,90
1997,OCT,GSP,GSP,160
1997,OCT,Industry,Industry,95
1997,NOV,Electricity,EGAT,1154
1997,NOV,Electricity,SPP,90
1997,NOV,GSP,GSP,162
1997,NOV,Industry,Industry,103
1997,DEC,Electricity,EGAT,1139
1997,DEC,Electricity,SPP,102
1997,DEC,GSP,GSP,158
1997,DEC,Industry,Industry,97
1998,JAN,Electricity,EGAT,1097
1998,JAN,Electricity,SPP,104
1998,JAN,GSP,GSP,163
1998,JAN,Industry,Industry,80
1998,FEB,Electricity,EGAT,1156
1998,FEB,Electricity,SPP,117
1998,FEB,GSP,GSP,157
1998,FEB,Industry,Industry,93
1998,MAR,Electricity,EGAT,1195
1998,MAR,Electricity,SPP,99
1998,MAR,GSP,GSP,155
1998,MAR,Industry,Industry,86
1998,APR,Electricity,EGAT,985
1998,APR,Electricity,SPP,122
1998,APR,GSP,GSP,145
1998,APR,Industry,Industry,94
1998,MAY,Electricity,EGAT,1125
1998,MAY,Electricity,SPP,138
1998,MAY,GSP,GSP,151
1998,MAY,Industry,Industry,90
1998,JUN,Electricity,EGAT,1147
1998,JUN,Electricity,SPP,143
1998,JUN,GSP,GSP,156
1998,JUN,Industry,Industry,94
1998,JUL,Electricity,EGAT,1138
1998,JUL,Electricity,SPP,143
1998,JUL,GSP,GSP,147
1998,JUL,Industry,Industry,74
1998,AUG,Electricity,EGAT,1187
1998,AUG,Electricity,SPP,138
1998,AUG,GSP,GSP,152
1998,AUG,Industry,Industry,83
1998,SEP,Electricity,EGAT,1190
1998,SEP,Electricity,SPP,154
1998,SEP,GSP,GSP,159
1998,SEP,Industry,Industry,95
1998,OCT,Electricity,EGAT,1247
1998,OCT,Electricity,SPP,157
1998,OCT,GSP,GSP,172
1998,OCT,Industry,Industry,94
1998,NOV,Electricity,EGAT,1232
1998,NOV,Electricity,SPP,179
1998,NOV,GSP,GSP,173
1998,NOV,Industry,Industry,95
1998,DEC,Electricity,EGAT,1123
1998,DEC,Electricity,SPP,180
1998,DEC,GSP,GSP,172
1998,DEC,Industry,Industry,124
1999,JAN,Electricity,EGAT,1106
1999,JAN,Electricity,SPP,194
1999,JAN,GSP,GSP,166
1999,JAN,Industry,Industry,106
1999,FEB,Electricity,EGAT,1130
1999,FEB,Electricity,SPP,193
1999,FEB,GSP,GSP,128
1999,FEB,Industry,Industry,98
1999,MAR,Electricity,EGAT,1215
1999,MAR,Electricity,SPP,228
1999,MAR,GSP,GSP,123
1999,MAR,Industry,Industry,113
1999,APR,Electricity,EGAT,1144
1999,APR,Electricity,SPP,246
1999,APR,GSP,GSP,168
1999,APR,Industry,Industry,96
1999,MAY,Electricity,EGAT,1127
1999,MAY,Electricity,SPP,286
1999,MAY,GSP,GSP,176
1999,MAY,Industry,Industry,101
1999,JUN,Electricity,EGAT,1178
1999,JUN,Electricity,SPP,294
1999,JUN,GSP,GSP,178
1999,JUN,Industry,Industry,130
1999,JUL,Electricity,EGAT,1131
1999,JUL,Electricity,SPP,285
1999,JUL,GSP,GSP,174
1999,JUL,Industry,Industry,126
1999,AUG,Electricity,EGAT,1132
1999,AUG,Electricity,SPP,299
1999,AUG,GSP,GSP,174
1999,AUG,Industry,Industry,133
1999,SEP,Electricity,EGAT,1168
